"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
83,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Mitsugarasucho","Tomio","18",33000000,"","150",,"Rectangular Shaped","10.0","","","","","South","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
84,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Mitsugarasucho","Tomio","21",39000000,"","150",,"Semi-square Shaped","12.2","115","2014","LS","House","Southwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
85,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Minamikyobatecho","Kyobate","5",10000000,"","120",,"Semi-square Shaped","11.0","105","1986","W","House","East","City Road",6.2,"Semi-industrial District",60,200,"2nd quarter 2014",""
86,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Minamikyobatecho","Kyobate","8",5500000,"3LDK","60",,"","","","1990","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
87,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Minamikyobatecho","Koriyama (Nara)","1",24000000,"","115",,"Semi-rectangular Shaped","5.5","100","2014","W","House","North","City Road",6.7,"Semi-industrial District",60,200,"2nd quarter 2014",""
88,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Minamikyobatecho","Nara","16",9800000,"3LDK","65",,"","","","1990","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
89,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Minamifukurocho","Nara","13",6900000,"","60",,"Semi-rectangular Shaped","9.2","","1984","W","House","North","City Road",3.6,"Commercial District",80,400,"2nd quarter 2014",""
90,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Mimatsu","Tomio","10",6200000,"3LDK","70",,"","","","1994","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
91,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Mimatsugaoka","Tomio","15",16000000,"","220",,"Rectangular Shaped","13.8","125","1975","W","House","North","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
92,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Rokujo","Nishinokyo","10",99000000,"","1300",79000,"Irregular Shaped","50.0m or longer.","","","","","West","City Road",7.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
93,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Rokujocho","Nishinokyo","8",20000000,"","480",,"Rectangular Shaped","25.0","95","1976","W","House","East","City Road",1.8,"Urbanization Control Area",,,"2nd quarter 2014",""
